Well,Fluor,Target,Content,Sample,Cq,relative_concentration,primer_desc,type,date,sample_name,bio_Rep,QrgB,geno
B1,SYBR,,Unknown,,26.03145186,1,rpoC,reference,7/9/25,dL_wt_Bstar,2,star,dL_wt_Bstar
B3,SYBR,,Unknown,,45,1,rpoC,reference,7/9/25,noTemplate,1,,noTemplate
B5,SYBR,,Unknown,,24.33330965,1,rpoC,reference,7/9/25,dL_wt_PVC2224,2,,dL_wt_PVC2224
B7,SYBR,,Unknown,,45,1,rpoC,reference,7/9/25,noTemplate,2,,noTemplate
B9,SYBR,,Unknown,,29.67259788,1,cdgC,sample,7/9/25,dL_wt_Bstar,2,star,dL_wt_Bstar
B11,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,noTemplate,1,,noTemplate
B13,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,dL_wt_PVC2224,2,,dL_wt_PVC2224
B15,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,noTemplate,2,,noTemplate
B17,SYBR,,Unknown,,29.52379809,1,SnrC,sample,7/9/25,dL_wt_Bstar,2,star,dL_wt_Bstar
B19,SYBR,,Unknown,,45,1,SnrC,sample,7/9/25,noTemplate,1,,noTemplate
B21,SYBR,,Unknown,,28.05180507,1,SnrC,sample,7/9/25,dL_wt_PVC2224,2,,dL_wt_PVC2224
B23,SYBR,,Unknown,,45,1,SnrC,sample,7/9/25,noTemplate,2,,noTemplate
D1,SYBR,,Unknown,,27.40027205,1,rpoC,reference,7/9/25,dL_wt_Bstar,1,star,dL_wt_Bstar
D3,SYBR,,Unknown,,25.8712199,1,rpoC,reference,7/9/25,dL_wt_B_anticdgCJ,3,active,dL_wt_B_anticdgCJ
D5,SYBR,,Unknown,,26.16260231,1,rpoC,reference,7/9/25,dL_wt_PVC2224,1,,dL_wt_PVC2224
D7,SYBR,,Unknown,,45,1,rpoC,reference,7/9/25,CW2035_emptyVector,3,,CW2035_emptyVector
D9,SYBR,,Unknown,,30.39382285,1,cdgC,sample,7/9/25,dL_wt_Bstar,1,star,dL_wt_Bstar
D11,SYBR,,Unknown,,26.84913484,1,cdgC,sample,7/9/25,dL_wt_B_anticdgCJ,3,active,dL_wt_B_anticdgCJ
D13,SYBR,,Unknown,,28.05892473,1,cdgC,sample,7/9/25,dL_wt_PVC2224,1,,dL_wt_PVC2224
D15,SYBR,,Unknown,,30.21686735,1,cdgC,sample,7/9/25,CW2035_emptyVector,3,,CW2035_emptyVector
D17,SYBR,,Unknown,,29.77430394,1,SnrC,sample,7/9/25,dL_wt_Bstar,1,star,dL_wt_Bstar
D19,SYBR,,Unknown,,18.15875272,1,SnrC,sample,7/9/25,dL_wt_B_anticdgCJ,3,active,dL_wt_B_anticdgCJ
D21,SYBR,,Unknown,,28.97813923,1,SnrC,sample,7/9/25,dL_wt_PVC2224,1,,dL_wt_PVC2224
D23,SYBR,,Unknown,,29.81279689,1,SnrC,sample,7/9/25,CW2035_emptyVector,3,,CW2035_emptyVector
F1,SYBR,,Unknown,,26.18595059,1,rpoC,reference,7/9/25,dL_dR_B,3,active,dL_dR_B
F3,SYBR,,Unknown,,25.79061584,1,rpoC,reference,7/9/25,dL_wt_B_anticdgCJ,2,active,dL_wt_B_anticdgCJ
