,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log2_inv_primer_effs[0],0.755,0.046,0.666,0.842,0.0,0.0,40559.0,21050.0,1.0
log2_inv_primer_effs[1],1.001,0.057,0.893,1.106,0.0,0.0,29084.0,17233.0,1.0
log2_inv_primer_effs[2],0.75,0.072,0.615,0.886,0.0,0.0,39831.0,22851.0,1.0
primer_intercepts[0],13.562,2.846,7.947,18.675,0.016,0.016,29983.0,22750.0,1.0
primer_intercepts[1],1.474,2.312,-2.909,5.713,0.016,0.015,22031.0,19526.0,1.0
primer_intercepts[2],15.861,4.113,8.3,23.753,0.021,0.025,38267.0,24157.0,1.0
primer_geno_effs[0],7.231,2.757,2.073,12.394,0.016,0.015,28226.0,23268.0,1.0
primer_geno_effs[1],-0.832,2.492,-5.51,3.853,0.015,0.014,26260.0,21763.0,1.0
primer_geno_effs[2],0.543,2.496,-4.221,5.162,0.016,0.014,25405.0,21974.0,1.0
primer_geno_effs[3],-1.424,2.419,-5.94,3.163,0.015,0.013,27455.0,22908.0,1.0
primer_geno_effs[4],2.853,2.388,-1.513,7.41,0.015,0.013,26745.0,23464.0,1.0
primer_geno_effs[5],1.881,2.473,-2.701,6.589,0.015,0.013,27067.0,22742.0,1.0
primer_geno_effs[6],-10.383,2.475,-15.098,-5.796,0.015,0.013,26167.0,23515.0,1.0
primer_geno_effs[7],8.585,3.154,2.789,14.582,0.017,0.018,33268.0,25196.0,1.0
primer_geno_effs[8],0.694,2.517,-3.914,5.544,0.016,0.014,25180.0,22568.0,1.0
primer_geno_effs[9],-2.569,2.48,-7.202,2.111,0.015,0.014,27340.0,23082.0,1.0
primer_geno_effs[10],0.575,2.516,-4.4,5.03,0.016,0.014,25626.0,21025.0,1.0
primer_geno_effs[11],1.716,2.523,-3.127,6.383,0.016,0.014,25825.0,22784.0,1.0
primer_geno_effs[12],0.021,2.522,-4.6,4.908,0.016,0.014,25963.0,20566.0,1.0
primer_geno_effs[13],1.803,2.56,-3.034,6.603,0.016,0.014,26520.0,23278.0,1.0
primer_geno_effs[14],0.447,2.501,-4.179,5.206,0.016,0.014,25154.0,22058.0,1.0
primer_geno_effs[15],0.02,2.481,-4.781,4.555,0.016,0.014,24352.0,22140.0,1.0
primer_geno_effs[16],0.688,2.442,-4.081,5.135,0.015,0.013,25465.0,22717.0,1.0
primer_geno_effs[17],0.428,2.52,-4.397,5.106,0.015,0.014,28059.0,22105.0,1.0
primer_geno_effs[18],1.665,2.495,-3.07,6.316,0.016,0.014,25399.0,22021.0,1.0
primer_geno_effs[19],0.136,2.471,-4.57,4.689,0.016,0.014,25028.0,22403.0,1.0
primer_geno_effs[20],0.279,2.483,-4.437,4.882,0.015,0.014,27331.0,23216.0,1.0
primer_geno_effs[21],1.593,2.521,-3.032,6.44,0.015,0.014,28157.0,22954.0,1.0
primer_geno_effs[22],-4.113,2.648,-9.133,0.875,0.016,0.015,26147.0,21574.0,1.0
primer_geno_effs[23],-2.398,2.484,-7.04,2.307,0.015,0.014,27660.0,22216.0,1.0
