name,geno,locus,mean,hdi_3%,hdi_97%
SnrC_CW2034_dJ_B,CW2034_dJ_B,SnrC,7.231,2.073,12.394
rpoC_CW2035_emptyVector,CW2035_emptyVector,rpoC,-0.832,-5.51,3.853
SnrC_dL_dR_PVC2224,dL_dR_PVC2224,SnrC,0.543,-4.221,5.162
cdgC_dL_wt_B_anticdgCJ,dL_wt_B_anticdgCJ,cdgC,-1.424,-5.94,3.163
rpoC_dL_wt_B_anticdgCJ,dL_wt_B_anticdgCJ,rpoC,2.853,-1.513,7.41
SnrC_dL_wt_B,dL_wt_B,SnrC,1.881,-2.701,6.589
SnrC_dL_wt_B_anticdgCJ,dL_wt_B_anticdgCJ,SnrC,-10.383,-15.098,-5.796
cdgC_CW2034_dJ_B,CW2034_dJ_B,cdgC,8.585,2.789,14.582
rpoC_dL_dR_Bstar,dL_dR_Bstar,rpoC,0.694,-3.914,5.544
cdgC_dL_wt_B_sensecdgCJ,dL_wt_B_sensecdgCJ,cdgC,-2.569,-7.202,2.111
SnrC_dL_dR_Bstar,dL_dR_Bstar,SnrC,0.575,-4.4,5.03
cdgC_dL_dR_PVC2224,dL_dR_PVC2224,cdgC,1.716,-3.127,6.383
cdgC_dL_wt_Bstar,dL_wt_Bstar,cdgC,0.021,-4.6,4.908
cdgC_dL_dR_Bstar,dL_dR_Bstar,cdgC,1.803,-3.034,6.603
rpoC_dL_wt_Bstar,dL_wt_Bstar,rpoC,0.447,-4.179,5.206
rpoC_dL_wt_PVC2224,dL_wt_PVC2224,rpoC,0.02,-4.781,4.555
rpoC_dL_wt_B,dL_wt_B,rpoC,0.688,-4.081,5.135
cdgC_CW2035_emptyVector,CW2035_emptyVector,cdgC,0.428,-4.397,5.106
SnrC_CW2035_emptyVector,CW2035_emptyVector,SnrC,1.665,-3.07,6.316
rpoC_dL_wt_B_sensecdgCJ,dL_wt_B_sensecdgCJ,rpoC,0.136,-4.57,4.689
SnrC_dL_dR_B,dL_dR_B,SnrC,0.279,-4.437,4.882
cdgC_dL_dR_B,dL_dR_B,cdgC,1.593,-3.032,6.44
rpoC_CW2034_dJ_B,CW2034_dJ_B,rpoC,-4.113,-9.133,0.875
cdgC_dL_wt_B,dL_wt_B,cdgC,-2.398,-7.04,2.307
SnrC_dL_wt_PVC2224,dL_wt_PVC2224,SnrC,0.694,-3.9,5.418
rpoC_dL_dR_B,dL_dR_B,rpoC,0.612,-4.038,5.401
cdgC_dL_wt_PVC2224,dL_wt_PVC2224,cdgC,-1.6,-6.31,3.215
SnrC_dL_wt_B_sensecdgCJ,dL_wt_B_sensecdgCJ,SnrC,1.441,-3.306,6.051
SnrC_dL_wt_Bstar,dL_wt_Bstar,SnrC,1.423,-3.363,6.1
rpoC_dL_dR_PVC2224,dL_dR_PVC2224,rpoC,-0.043,-4.621,4.684
